,,,,,,,,,,
rank,WSID,OVERALL (team),POS,BYE,BEST,WORST,AVG,STD DEV,ADP,VS. ADP
115,,Anthony Miller CHI ,WR46 ,6,75,229,117.7,21.6,133,18
116,,Emmanuel Sanders DEN ,WR47 ,10,58,238,122.9,28.3,99,-17
117,,Philip Rivers LAC ,QB16 ,12,71,174,123.2,17.3,117,0
118,,Michael Gallup DAL ,WR48 ,8,77,233,125.9,24.1,158,40
119,,Donte Moncrief PIT ,WR49 ,7,74,228,126.3,25.4,135,16
120,,Dion Lewis TEN ,RB45 ,11,76,250,127,24.1,122,2
121,,John Brown BUF ,WR50 ,6,58,194,127.6,18,163,42
122,,Austin Hooper ATL ,TE11 ,9,69,219,128.5,24,131,9
123,,Tom Brady NE ,QB17 ,10,65,198,133.8,20.2,115,-8
124,,Mitch Trubisky CHI ,QB18 ,6,64,215,134.9,23.2,150,26
125,,Tyrell Williams OAK ,WR51 ,6,70,264,136.2,29.3,124,-1
126,,Keke Coutee HOU ,WR52 ,10,85,232,133.2,24.8,146,20
127,,Kirk Cousins MIN ,QB19 ,12,70,196,133.5,23.7,138,11
128,,Delanie Walker TEN ,TE12 ,11,85,302,137,29,120,-8
129,,Kenny Stills MIA ,WR53 ,5,66,229,140.2,24.5,186,57
130,,Josh Allen BUF ,QB20 ,6,69,242,141.3,25.8,167,37
131,,Trey Burton CHI ,TE13 ,6,79,235,142.7,27.7,148,17
132,,Justin Jackson LAC ,RB46 ,12,67,309,142.8,44.9,154,22
133,,Devin Singletary BUF ,RB47 ,6,43,288,140,36.4,129,-4
134,,James Washington PIT ,WR54 ,7,95,267,147.4,36.5,112,-22
135,,Jaylen Samuels PIT ,RB48 ,7,71,286,144.2,40.4,134,-1
136,,Nyheim Hines IND ,RB49 ,6,83,342,147.6,38,159,23
137,,Devin Funchess IND ,WR55 ,6,89,283,144.5,30.8,152,15
138,,Golden Tate NYG ,WR56 ,11,88,238,144.9,29.6,141,3
139,,Jamison Crowder NYJ ,WR57 ,4,95,226,144.1,22.9,172,33
140,,Mark Andrews BAL ,TE14 ,8,89,290,145.9,37.4,142,2
141,,Justice Hill BAL ,RB50 ,8,76,253,150.2,41.1,164,23
142,,Damien Harris NE ,RB51 ,10,75,394,144.5,48.9,136,-6
143,,Jimmy Garoppolo SF ,QB21 ,4,85,206,151.9,25.6,153,10
144,,Ito Smith ATL ,RB52 ,9,84,265,146.7,33.7,168,24
145,,D.K. Metcalf SEA ,WR58 ,11,80,287,156.3,36.8,140,-5
146,,Kareem Hunt CLE ,RB53 ,7,79,377,161.2,44.8,102,-44
147,,C.J. Anderson DET ,RB54 ,5,94,271,151.9,32.1,184,37
148,,N'Keal Harry NE ,WR59 ,10,63,280,167.5,44.5,132,-16
149,,Sam Darnold NYJ ,QB22 ,4,92,248,162.8,27.6,188,39
150,,Tre'Quan Smith NO ,WR60 ,9,86,267,166.2,29.5,180,30
151,,Marquise Goodwin SF ,WR61 ,4,93,265,159.9,38.2,191,40
152,,DaeSean Hamilton DEN ,WR62 ,10,103,263,164.1,30,194,42
153,,Mohamed Sanu ATL ,WR63 ,9,102,268,171.9,33.6,187,34
154,,Jordan Reed WAS ,TE15 ,10,80,255,166.6,35.3,149,-5
155,,Alexander Mattison MIN ,RB55 ,12,84,329,163.5,41,151,-4
156,,Greg Olsen CAR ,TE16 ,7,77,325,175.8,43.6,157,1
157,,Jimmy Graham GB ,TE17 ,11,60,297,185.6,46.2,165,8
158,,Mike Davis CHI ,RB56 ,6,98,295,168.1,34.6,237,79
159,,Matthew Stafford DET ,QB23 ,5,98,216,171.5,26,181,22
160,,Carlos Hyde KC ,RB57 ,12,64,262,155.7,42.8,139,-21
161,,Kyle Rudolph MIN ,TE18 ,12,106,269,180.3,38.2,161,0
162,,Darwin Thompson KC ,RB58 ,12,45,367,155.4,61.1,143,-19
163,,Jack Doyle IND ,TE19 ,6,88,289,178.8,42.2,230,67
164,,Albert Wilson MIA ,WR64 ,5,112,266,176.3,35.3,223,59
165,,Derek Carr OAK ,QB24 ,6,99,252,180.6,27.7,177,12
