115,,Marquez Callaway (NO)      ,WR48,65,198,120.3,29.8
116,,Matt Ryan (ATL)      ,QB14,66,224,121.8,18.2
117,,Tony Pollard (DAL)     ,RB42,71,200,120.5,18.9
118,,Trevor Lawrence (JAC)      ,QB15,90,197,124.6,20.5
119,,Michael Thomas (NO)     ,WR49,21,271,121.8,41.1
120,,Jaylen Waddle (MIA)      ,WR50,55,293,122.6,31.2
121,,Darnell Mooney (CHI)      ,WR51,73,208,122.7,25.6
122,,David Johnson (HOU)      ,RB43,66,256,122.8,30.5
123,,Kirk Cousins (MIN)    ,QB16,95,178,126.8,17.9
124,,James White (NE)     ,RB44,71,260,125.4,25.7
125,,J.D. McKissic (WAS)     ,RB45,80,197,128.6,24.6
126,,DeVante Parker (MIA)    ,WR52,73,205,132.1,28.4
127,,Marquise Brown (BAL)    ,WR53,88,229,134,27.4
128,,Tua Tagovailoa (MIA)      ,QB17,95,242,139.7,28.3
129,,Baker Mayfield (CLE)    ,QB18,114,252,141.7,25.1
130,,Evan Engram (NYG)     ,TE14,69,255,133.5,25
131,,Phillip Lindsay (HOU)     ,RB46,85,245,137.5,28.1
132,,Hunter Henry (NE)    ,TE15,92,255,142.6,26.3
133,,Rob Gronkowski (TB)     ,TE16,69,258,147,28.4
134,,Russell Gage (ATL)    ,WR54,72,272,147,34.3
135,,Giovani Bernard (TB)    ,RB47,80,289,145,33.5
136,,Sony Michel (LAR)      ,RB48,60,310,138.5,39.6
137,,Gerald Everett (SEA)     ,TE17,87,258,148.5,32.3
138,,Jakobi Meyers (NE)    ,WR55,64,271,142.9,44.7
139,,Elijah Moore (NYJ)      ,WR56,74,291,143.1,40.6
140,,Ryan Fitzpatrick (WAS)    ,QB19,105,284,149.9,31.7
141,,Ben Roethlisberger (PIT)    ,QB20,105,284,150.8,31.7
142,,Mecole Hardman (KC)      ,WR57,82,223,151.3,30.7
143,,Cole Beasley (BUF)    ,WR58,67,227,148.9,35
144,,Cole Kmet (CHI)      ,TE18,94,258,152.8,31.1
145,,Henry Ruggs III (LV)     ,WR59,82,234,156.4,29.4
146,,Justin Fields (CHI)      ,QB21,95,329,160.3,45.4
147,,Austin Hooper (CLE)    ,TE19,78,267,160.6,32.4
148,,Alexander Mattison (MIN)    ,RB49,98,245,157.8,23.4
149,,Sterling Shepard (NYG)     ,WR60,90,244,158,32.9
150,,Nelson Agholor (NE)    ,WR61,99,294,165.8,34
151,,Derek Carr (LV)     ,QB22,110,275,166.3,33
152,,Jared Cook (LAC)    ,TE20,91,294,163.7,35.4
153,,Blake Jarwin (DAL)      ,TE21,108,267,161.9,29
154,,Los Angeles Rams (LAR)    ,DST1,137,285,149.2,18.4
155,,Pittsburgh Steelers (PIT)    ,DST2,132,278,150.7,19.1
156,,Latavius Murray (NO)    ,RB50,100,277,160.3,40.8
157,,Zach Ertz (PHI)    ,TE22,121,291,169.3,35.9
158,,Jameis Winston (NO)     ,QB23,102,345,169.9,50.9
159,,Trey Lance (SF)      ,QB24,92,335,173.8,61.1
160,,Daniel Jones (NYG)      ,QB25,95,284,177.7,37.5
161,,Baltimore Ravens (BAL)    ,DST3,134,234,158.9,15.2
162,,Tevin Coleman (NYJ)    ,RB51,110,329,165.5,36
163,,Jalen Reagor (PHI)     ,WR62,101,285,173,31.6
164,,Anthony Firkser (TEN)    ,TE23,92,354,176.8,42.5
165,,Sam Darnold (CAR)    ,QB26,118,318,185.2,34.9
166,,Carson Wentz (IND)      ,QB27,106,284,185.6,41.2
167,,Jamison Crowder (NYJ)     ,WR63,96,298,180.2,36
168,,Zach Wilson (NYJ)      ,QB28,105,317,187.5,38.5
169,,Washington Football Team (WAS)    ,DST4,140,279,163,23.6
170,,Tampa Bay Buccaneers (TB)    ,DST5,138,243,170.4,23.6
171,,San Francisco 49ers (SF)    ,DST6,124,248,171.2,19.2
172,,Rondale Moore (ARI)      ,WR64,97,349,171.3,45.7
173,,Rashaad Penny (SEA)      ,RB52,126,337,181.9,32.6
174,,Gabriel Davis (BUF)      ,WR65,86,316,186.6,37.7
175,,Justin Tucker (BAL)    ,K1,123,258,174.4,11.7
176,,Emmanuel Sanders (BUF)      ,WR66,101,243,180.8,29.8
177,,Terrace Marshall Jr. (CAR)      ,WR67,96,320,183,45.2
178,,Bryan Edwards (LV)      ,WR68,82,340,186.9,40.5
179,,Parris Campbell (IND)    ,WR69,102,306,191.1,33.1
180,,Rashod Bateman (BAL)      ,WR70,107,366,191.3,43
181,,Indianapolis Colts (IND)    ,DST7,145,259,177.4,23.7
182,,Harrison Butker (KC)    ,K2,132,256,181.4,12.1
183,,Kenneth Gainwell (PHI)      ,RB53,84,350,189.3,46.2
184,,Tre'Quan Smith (NO)      ,WR71,93,277,190.3,38.7
185,,Younghoe Koo (ATL)    ,K3,161,339,188.6,20.9
186,,Darrel Williams (KC)    ,RB54,126,323,189.8,38.8
