215,Chase McLaughlin,K21,TB
216,Darnell Mooney,WR70,CHI
217,Tanner Brown,K22,LAR
218,Eddy Pineiro,K23,CAR
219,Luke Musgrave,TE26,GB
220,Joey Slye,K24,WAS
220,Hayden Hurst,TE27,CAR
222,Indianapolis Colts,DST17,IND
223,Detroit Lions,DST18,DET
224,Los Angeles Chargers,DST19,LAC
225,Ka'imi Fairbairn,K25,HOU
225,Clyde Edwards-Helaire,RB59,KC
227,Tampa Bay Buccaneers,DST20,TB
227,Matt Breida,RB60,NYG
229,Chris Boswell,K26,PIT
230,Jake Ferguson,TE28,DAL
231,Minnesota Vikings,DST21,MIN
232,Donovan Peoples-Jones,WR71,CLE
233,Deon Jackson,RB61,IND
234,Khalil Shakir,WR72,BUF
235,Green Bay Packers,DST22,GB
235,Noah Fant,TE29,SEA
237,Mac Jones,QB27,NE
238,Desmond Ridder,QB28,ATL
239,Marvin Mims Jr.,WR73,DEN
240,Anders Carlson,K27,GB
241,Graham Gano,K28,NYG
241,Matt Gay,K28,IND
243,Denver Broncos,DST23,DEN
244,Cairo Santos,K30,CHI
245,Washington Commanders,DST24,WAS
246,Tutu Atwell,WR74,LAR
247,Taysom Hill,TE30,NO
248,Brock Purdy,QB29,SF
249,Jerome Ford,RB62,CLE
250,Jalin Hyatt,WR75,NYG
251,Mike Gesicki,TE31,NE
252,Tennessee Titans,DST25,TEN
253,Miami Dolphins,DST26,MIA
254,Terrace Marshall Jr.,WR76,CAR
255,Atlanta Falcons,DST27,ATL
256,Parris Campbell,WR77,NYG
257,Durham Smythe,TE32,MIA
257,John Metchie III,WR78,HOU
257,Puka Nacua,WR78,LAR
260,Nick Folk,K31,TEN
260,Zamir White,RB63,LV
262,Marvin Jones Jr.,WR80,DET
263,Alec Pierce,WR81,IND
264,Mecole Hardman Jr.,WR82,NYJ
265,Trey McBride,TE33,ARI
266,Tank Dell,WR83,HOU
267,Matt Prater,K32,ARI
267,Jayden Reed,WR84,GB
269,Keaontay Ingram,RB64,ARI
270,Zach Ertz,TE34,ARI
271,Robert Woods,WR85,HOU
272,Chris Evans,RB65,CIN
273,Houston Texans,DST28,HOU
274,Gus Edwards,RB66,BAL
275,Los Angeles Rams,DST29,LAR
276,Cole Turner,TE35,WAS
277,Isaiah Hodgins,WR86,NYG
278,Salvon Ahmed,RB67,MIA
279,Cordarrelle Patterson,RB68,ATL
280,Chase Brown,RB69,CIN
281,Latavius Murray,RB70,BUF
282,Marquez Valdes-Scantling,WR87,KC
283,Kendrick Bourne,WR88,NE
284,Adam Trautman,TE36,DEN
285,Josh Reynolds,WR89,DET
286,Michael Wilson,WR90,ARI
287,Arizona Cardinals,DST30,ARI
288,Hunter Renfrow,WR91,LV
289,Chicago Bears,DST31,CHI
290,Cedrick Wilson Jr.,WR92,MIA
291,Chase Claypool,WR93,CHI
292,Isaiah Likely,TE37,BAL
293,Craig Reynolds,RB71,DET
294,Raheem Blackshear,RB72,CAR
295,Ryan Tannehill,QB30,TEN
296,Mack Hollins,WR94,ATL
297,Kylen Granson,TE38,IND
298,Charlie Jones,WR95,CIN
299,Las Vegas Raiders,DST32,LV
299,Joshua Palmer,WR96,LAC
