FantasyPros.com ,"this is from sports illustrated.com, not fantasy pros. Weird",,,,
 NFL Rankings ,,,,,
,,,,,
,,,,,
Rank,Player Name,Team,Position,ECR,vs. ECR
180,Harrison Butker,KC,K,198,18
181,Justin Tucker,BAL,K,196,15
182,Parris Campbell,IND,WR,172,-10
183,Donte Moncrief,PIT,WR,119,-64
184,DaeSean Hamilton,DEN,WR,152,-32
185,New Orleans Saints,NO,DST,200,15
186,A.J. Brown,TEN,WR,220,34
187,Wil Lutz,NO,K,202,15
188,Pittsburgh Steelers,PIT,DST,231,43
189,Tyler Eifert,CIN,TE,242,53
190,Nelson Agholor,PHI,WR,218,28
191,Marquise Brown,BAL,WR,190,-1
192,Baltimore Ravens,BAL,DST,181,-11
193,Golden Tate,NYG,WR,138,-55
194,Dallas Goedert,PHI,TE,193,-1
195,Chris Conley,JAC,WR,271,76
196,Philadelphia Eagles,PHI,DST,219,23
197,New England Patriots,NE,DST,208,11
198,Stephen Gostkowski,NE,K,203,5
199,Buffalo Bills,BUF,DST,210,11
200,Josh Doctson,WAS,WR,249,49
201,Albert Wilson,MIA,WR,164,-37
202,Ka'imi Fairbairn,HOU,K,215,13
203,Greg Joseph,CLE,K,336,133
204,Michael Badgley,LAC,K,228,24
205,Kenneth Dixon,BAL,RB,251,46
206,Jake Elliott,PHI,K,216,10
207,Chase Edmonds,ARI,RB,180,-27
208,Mecole Hardman,KC,WR,191,-17
209,Robbie Gould,SF,K,229,20
210,Matt Prater,DET,K,227,17
211,Washington Redskins,WAS,DST,331,120
212,Kansas City Chiefs,KC,DST,250,38
213,Adam Humphries,TEN,WR,170,-43
214,Giovani Bernard,CIN,RB,173,-41
215,Ryan Fitzpatrick,MIA,QB,243,28
216,Devante Parker,MIA,WR,171,-45
217,Taylor Gabriel,CHI,WR,206,-11
218,Andy Isabella,ARI,WR,211,-7
219,David Moore,SEA,WR,204,-15
220,T.J. Hockenson,DET,TE,189,-31
221,Darren Waller,OAK,TE,241,20
222,Mason Crosby,GB,K,214,-8
223,D.J. Chark,JAC,WR,240,17
224,Tennessee Titans,TEN,DST,238,14
225,Michael Crabtree,ARI,WR,327,102
226,Brett Maher,DAL,K,221,-5
227,Seattle Seahawks,SEA,DST,233,6
228,Jack Doyle,IND,TE,163,-65
229,Noah Fant,DEN,TE,205,-24
230,Antonio Callaway,CLE,WR,239,9
231,Giorgio Tavecchio,ATL,K,291,60
232,Jason Myers,SEA,K,258,26
233,Dare Ogunbowale,TB,RB,353,120
234,Frank Gore,BUF,RB,222,-12
235,Malcolm Brown,LAR,RB,183,-52
236,Dallas Cowboys,DAL,DST,212,-24
237,Karan Higdon,HOU,RB,355,118
238,Adam Vinatieri,IND,K,237,-1
239,Chris Boswell,PIT,K,310,71
240,Kyle Rudolph,MIN,TE,161,-79
241,Gerald Everett,LAR,TE,256,15
242,Jordan Akins,HOU,TE,452,210
243,Andy Dalton,CIN,QB,184,-59
244,Hunter Renfrow,OAK,WR,307,63
245,Zay Jones,BUF,WR,186,-59
246,Irv Smith Jr.,MIN,TE,354,108
247,Cameron Brate,TB,TE,284,37
248,N'Keal Harry,NE,WR,148,-100
249,Mohamed Sanu,ATL,WR,153,-96
250,Paul Richardson,WAS,WR,236,-14
251,Hayden Hurst,BAL,TE,320,69
